% Model,组合透射.mph
% Version,COMSOL 6.1.0.252
% Date,"Nov 22 2024, 22:12"
% Table,表格 1 - 全局计算 1
% freq (Hz),abs(tran)^2 (1)
200,0.8758401442088831
240,0.8438172616888651
280,0.8190132683829934
320,0.8041647707204772
360,0.7950633550123821
400,0.7888388271949561
440,0.7896049904463156
480,0.8021170349657585
520,0.8247956372564458
560,0.8528845023353748
600,0.8836593709516553
640,0.9157575787073183
680,0.9461515435286936
720,0.968414192499026
760,0.9780982583100689
800,0.9743269700853955
840,0.9570823632338329
880,0.9317084251840088
920,0.903167707484209
960,0.8769352843640599
1000,0.8580283718111948
1040,0.8424421498758549
1080,0.835583510115094
1120,0.8438581438827261
1160,0.8600812370138481
1200,0.8898168049608687
1240,0.9283138672081876
1280,0.9587711036072433
1320,0.9863250179590634
1360,0.9995665808291646
1400,0.9930181841425063
1440,0.973112510045424
1480,0.9481070082846269
1520,0.9328703682886558
1560,0.9368715509249267
1600,0.9480555063266383
1640,0.848337837327987
1680,0.6719650044988579
1720,0.30656588434960413
1760,0.11291425257386094
1800,0.05079111340685515
1840,0.01851411027981068
1880,0.006435579612032966
1920,0.002214405699798274
1960,6.421784614643493E-4
2000,1.8808180418600895E-4
2040,6.231766481355224E-5
2080,8.003012128200553E-5
2120,3.0113930999493013E-4
2160,8.19639434952211E-4
2200,0.0030605488066837425
2240,0.012343944313944468
2280,0.12095842035387154
2320,0.013614633223596842
2360,0.08934825563409846
2400,0.3321546751218438
2440,0.3236665862652037
2480,0.08851641705983587
2520,0.04098436201435936
2560,0.016872459401938635
2600,0.009859428398561701
2640,0.004279491143065763
2680,0.0010980678615852648
2720,0.002078494180184197
2760,0.004829856088083783
2800,0.004139399668583276
2840,0.002519764383428082
2880,0.0059301437542890224
2920,0.014781081575676716
2960,0.018440792921007147
3000,0.0056593915517670085
3040,0.0036124633501183065
3080,0.006268327331894764
3120,0.0113555359054666
3160,0.006455801865808437
3200,0.014650558663690218
3240,0.0016127442207164667
3280,0.004253206467215677
3320,3.7012458254266623E-4
3360,4.77402775469644E-4
3400,0.008654385225008361
3440,2.8139736142524066E-4
3480,0.0010557398142100017
3520,0.005289180370841113
3560,0.002785754181407075
3600,0.0023988521197535057
3640,0.0033318043659160213
3680,6.672456982616288E-4
3720,7.395834297260138E-4
3760,0.002453358075066252
3800,3.510216046451789E-4
3840,1.704721298171869E-4
3880,0.0016684856649316633
3920,0.006207732357507894
3960,0.00135039015167995
4000,0.00424365183734243
4040,0.0014121595298591772
4080,9.268596342403442E-4
4120,1.7912302597235027E-4
4160,2.5672755569197E-4
4200,3.0498084615275685E-4
4240,0.0013209984009175352
4280,0.11936515699999857
4320,3.015137359390939E-4
4360,3.0638312100709586E-4
4400,5.367812263740423E-4
4440,0.0011260899504641118
4480,9.983439378901528E-4
4520,0.006131590065579107
4560,3.330340645720933E-4
4600,0.015221212931096845
4640,0.004036621640033138
4680,0.03483587043658595
4720,0.0018363028460297909
4760,0.046321138778276524
4800,1.204136688852607E-4
4840,0.004371656228726431
4880,2.3816090812966986E-5
4920,0.022194462167221818
4960,0.001030661039476835
5000,0.022621262768572476
5040,0.0020204258052258866
5080,0.0014594540220071398
5120,0.23579440713626096
5160,0.07826198714881978
5200,0.010104164914813476
5240,0.0018734259054219743
5280,0.001201927584600344
5320,9.43500003306077E-4
5360,0.0668197284372458
5400,0.017268557561309426
5440,0.015294350426406807
5480,0.003546059234372254
5520,0.006608666560091123
5560,0.0048062215905959075
5600,0.00439773163033132
5640,0.11577551392711737
5680,0.05891954858000158
5720,0.001409666759874733
5760,0.0341509946609934
5800,0.010667932655025122
5840,0.07194081045865425
5880,0.040449760088595355
5920,0.026500619111913343
5960,0.015476669496533082
6000,0.0260072799131163
6040,0.003861178448715355
6080,0.021620650997709927
6120,0.20680171241466527
6160,0.023338961234860376
6200,0.062280832793401186
6240,8.72327300449811E-5
6280,0.0364784857436079
6320,2.9701763665477242E-5
6360,0.03462767092017598
6400,0.02381603852835862
6440,0.0013077351108627998
6480,0.0010547444119915516
6520,0.001824081366062289
6560,1.150677436671226E-4
6600,0.002178257553566004
6640,0.08985454417608887
6680,0.005253835427602917
6720,7.841960892754705E-5
6760,0.05594005106449152
6800,3.4253142044022233E-4
6840,0.014390180127735882
6880,0.013104421696801647
6920,0.01882121892142151
6960,0.01662157502525281
7000,0.06775674583072447
