% Model,3D透声原参数.mph
% Version,COMSOL 6.1.0.252
% Date,"Nov 22 2024, 16:25"
% Table,表格 1 - 全局计算 1
% freq (Hz),abs(tran)^2 (1)
200,0.9799744157779864
240,0.9737489795925631
280,0.9671708703326836
320,0.9597603355293246
360,0.9481229721848956
400,0.9324138140868434
440,0.9175144863292133
480,0.9064168620155267
520,0.8969512489440188
560,0.8870213869356153
600,0.878883325017763
640,0.8746320670879553
680,0.872425343021079
720,0.8699711884179089
760,0.8667345045007568
800,0.8640515847926825
840,0.8643164270731218
880,0.8658826593424505
920,0.8662396388349465
960,0.8687356083222072
1000,0.8743749619177661
1040,0.8807216725078454
1080,0.889478261015864
1120,0.8975836500614541
1160,0.9033133267279376
1200,0.9182702982247478
1240,0.9405973742150737
1280,0.9544607833682754
1320,0.9629314821135077
1360,0.971753851018374
1400,0.9757829271220725
1440,0.9758167299729891
1480,0.970789689661415
1520,0.9627687585063752
1560,0.9605801904259013
1600,0.9556038557063578
1640,0.9633238014004153
1680,0.9780457682113712
1720,0.9857078018752579
1760,0.9868813967566968
1800,1.0006532606515979
1840,1.0153723246984234
1880,0.9908102744714752
1920,0.9675109443212336
1960,0.9267031252325743
2000,0.8960054997253499
2040,0.8936143046617151
2080,0.8761790992876394
2120,0.8621175344719174
2160,0.9522405629612556
2200,0.9488512980189784
2240,0.9493683489064922
2280,1.1087693507236036
2320,1.03653267524477
2360,0.9070408332955513
2400,1.0957217790749072
2440,0.8903599415429844
2480,0.6800230916219072
2520,0.5572668244601257
2560,0.3902236931738281
2600,0.250734587132931
2640,0.15371791793133394
2680,0.07872690196594133
2720,0.05551561173580888
2760,0.03684602388099671
2800,0.02609010808833973
2840,0.005659150350458587
2880,0.0013209395423180751
2920,0.0014720869186694249
2960,0.0012220619303215197
3000,0.0025124034711491005
3040,4.1829397774345453E-4
3080,0.002438765764043616
3120,0.0024387361724635026
3160,0.00397379739284145
3200,0.023952235025147095
3240,0.01947150849913941
3280,0.010020851906431942
3320,0.0030017005246866734
3360,0.09024187147036342
3400,0.10834294908994958
3440,0.02108285098684094
3480,0.02069511294442918
3520,0.13416157634552678
3560,0.044783342725572786
3600,0.11829978533344049
3640,0.009633418616030407
3680,0.011078393644697357
3720,0.008011051871485946
3760,0.021049713046098713
3800,0.02004580578550959
3840,0.004823249363358572
3880,0.03484714494119184
3920,0.010403313901849748
3960,0.008492675678795195
4000,0.010124142903858121
4040,0.0015034323286910796
4080,0.007623786608853486
4120,4.30112347917614E-4
4160,0.003713622678785263
4200,0.001490326499410036
4240,0.00408855284939275
4280,0.01050274756826339
4320,0.014630200297303945
4360,0.024638418717050446
4400,0.0022844909863265848
4440,0.004178979534226923
4480,0.003908592290697408
4520,0.008257232380520917
4560,0.00672065795337979
4600,0.0013182099642342314
4640,0.06852461811527766
4680,0.016405075146913986
4720,0.03136414521374497
4760,0.1123662140861956
4800,0.00883282617259573
4840,0.026321510550865124
4880,0.013042959518880348
4920,0.04357433909626427
4960,0.035949494539423144
5000,0.008118624135683565
5040,6.083273978238836E-4
5080,0.23418011809516528
5120,0.028239715919535672
5160,0.11764890118700626
5200,0.07790103796242762
5240,0.12211307900777595
5280,0.007017354141763218
5320,0.23370176976027993
5360,0.017509784773685803
5400,0.15875282103043167
5440,4.744810146670482E-4
5480,0.007892724692906193
5520,0.004188240211991663
5560,0.006652582980755909
5600,0.08404729811479242
5640,0.005573330675766241
5680,0.11926937380384439
5720,0.06219281534750849
5760,1.4169041882816975
5800,0.01156493794709687
5840,0.057908622463941725
5880,0.11708147804299252
5920,0.020044038411277342
5960,0.03737932745061851
6000,0.032666319205085226
6040,0.005964413464115661
6080,0.0012100005399399189
6120,0.15420139731796847
6160,0.030072429137596446
6200,0.013538645221274221
6240,0.10688842513200184
6280,0.0034553515702950366
6320,0.002684280537159804
6360,0.1349474746561236
6400,0.007357862446195291
6440,0.06846001100782946
6480,0.012030206986279674
6520,0.013437739168539083
6560,6.555153066812317E-4
6600,7.340128536247616E-4
6640,3.006035673635679E-4
6680,1.2205765800485671E-4
6720,0.036875372520664494
6760,0.0032753663556112905
6800,0.005018982715744434
6840,0.1846311606793676
6880,0.03692261485926021
6920,0.13975930885768822
6960,0.05537931391832763
7000,0.03955210310744834
